,product_name,price,number_of_reviews,number_of_answered_questions,average_review_rating,product_information,product_description,customer_questions_and_answers,number_in_stock,#_items_bought,desc_len,desc_#_numb,weight,dimension,recom_age,info_len,info_#_numb,info_clean,model_no,assembly,educational_obj,batt_requi,color,material_type,best_seller_rank,deli_dest,first_del_date,#_tech_details,#_items_bought_view,question_list,desc_ques,category_eda,competitors_count,competitors_avg_price,OnlineRetail.co.uk,inferred-price,predicted_sales,predicted_revenue,coded_0,coded_1,coded_2,coded_3,coded_4,coded_5,coded_6,coded_7,coded_8,coded_9,coded_10,coded_11,coded_12,coded_13,coded_14,coded_15,coded_16,coded_17,coded_18,coded_19,Advent Calendars,Arts & Crafts,Baby & Toddler Toys,Building & Construction Toys,Characters & Brands,Die-Cast & Toy Vehicles,Dolls & Accessories,Fancy Dress,Figures & Playsets,Games,Hobbies,Jigsaws & Puzzles,Musical Toy Instruments,Novelty & Special Use,Other,Party Supplies,Pretend Play,Puppets & Puppet Theatres,Soft Toys,Sports Toys & Outdoor,predictions,bsr_improvement,sales_improvement
6592,4 Packs of Mini Colouring Pencils (4 pencils in each pack),0.6,21,1,4.3,"Technical Details Item Weight 59 g Product Dimensions 11.4 x 7.4 x 1.6 cm Manufacturer recommended age: 3 years and up Item model number S07-086HNB-4 Color Blue/Red    Additional Information ASINB0042SNE4U  See all reviews 21 reviews 4.3 out of 5 stars Best Sellers Rank 18,575 in Toys & Games (See top 100) #33 in Toys & Games > Arts & Crafts > Colouring Pencils #342 in Toys & Games > Arts & Crafts > Drawing & Painting Supplies #3948 in Toys & Games > Party Supplies Shipping Weight 59 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 13 Sept. 2010    Feedback  Would you like to update product info or give feedback on images?","4 x Mini Colouring Pencils - Pack of 4 Size: 8.5cm Colours: Red, Blue, Yellow and Green",How many packs in the box. // I got four Mimi packs  very disappointed,7,6.0,20.4,3.5999999999999996,59.0, 11.4 x 7.4 x 1.6 ,3.0,124,22,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number S-HNB- Color Blue/Red    Additional Information ASINBSNEU  See all reviews  reviews . out of  stars Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Arts & Crafts > Colouring Pencils # in Toys & Games > Arts & Crafts > Drawing & Painting Supplies # in Toys & Games > Party Supplies Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Sept.     Feedback  Would you like to update product info or give feedback on images?",,,False,,Blue,,18575.0, Help page to see where this item can be delivered. , 13 Sept. 2010    ,7,4.0,['How many packs in the box.'],0.39859526,Arts & Crafts,7,1.42,,0,171,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11774.123,6800.876953125,69.6
9759,HAMA BEADS LARGE HEXAGON SINGLE PEGBOARD NO. 276,2.99,9,1,4.9,"Technical Details Item Weight 9 g Product Dimensions 15.4 x 14.8 x 1.4 cm Manufacturer recommended age: 3 years and up Item model number 100-276 Main Language(s) German manual Number of Puzzle Pieces 1 Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINB0006GBBQA Best Sellers Rank 42,710 in Toys & Games (See top 100) #738 in Toys & Games > Arts & Crafts > Children's Craft Kits > Bead Art & Jewellery-Making Shipping Weight 9 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 11 Jan. 2010    Feedback  Would you like to update product info or give feedback on images?",Single Pegboard of large Hexagon for use with Hama Beads.,can you tell me what size this is please ????? // no - its packed away. sorry.  I'm sure if you google it you will find the info - best of luck!,13,6.0,12.0,0.0,9.0, 15.4 x 14.8 x 1.4 ,3.0,114,16,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number - Main Language(s) German manual Number of Puzzle Pieces  Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINBGBBQA Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Arts & Crafts > Children's Craft Kits > Bead Art & Jewellery-Making Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",,0.0,False,No,,,42710.0, Help page to see where this item can be delivered. , 11 Jan. 2010    ,7,4.0,['can you tell me what size this is please ?????'],0.44919983999999996,Arts & Crafts,10,3.54,,0,1,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31347.326,11362.673828125,38.87
9524,Game of Thrones: Joffrey Baratheo,14.99,9,1,4.1,"Technical Details Item Weight 227 g Product Dimensions 8.9 x 11.4 x 15.9 cm Manufacturer recommended age: 0 months and up Item model number 3871 Main Language(s) English Number of Puzzle Pieces 1 Assembly Required No Batteries Required? No Batteries Included? No Color Multicoloured    Additional Information ASINB00GXP18S4 Best Sellers Rank 45,955 in Toys & Games (See top 100) #1536 in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Shipping Weight 136 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 4 Feb. 2014    Feedback  Would you like to update product info or give feedback on images?",Product Description Game of Thrones has become a TV sensation with an ever growing audience who revel in the finely detailed characters and a world of bravery and brutality. This series of POP! figures brings us even more of the characters in this highly collectible form. The POP! vinyl figures stand around 9cm tall. Box Contains 1 x Vinyl Pop Figure,is this a bobble head? // Nope! It's just got a big head that swivels slightly and the arms move up and down.,20,6.0,73.2,2.4,227.0, 8.9 x 11.4 x 15.9 ,0.0,111,17,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  months and up Item model number  Main Language(s) English Number of Puzzle Pieces  Assembly Required No Batteries Required? No Batteries Included? No Color Multicoloured    Additional Information ASINBGXPS Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",3871 ,0.0,False,No,Multicoloured,,45955.0, Help page to see where this item can be delivered. , 4 Feb. 2014    ,7,4.0,['is this a bobble head?'],0.14417896000000002,Hobbies,10,11.67,,0,1,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37029.316,8925.68359375,29.979999999999997
4618,Long Sleeved Glove Puppet - Black and White Cat,12.99,19,1,4.4,"Technical Details Item Weight 159 g Product Dimensions 38.1 x 20.3 x 38.1 cm Manufacturer recommended age: 3 - 3 years Item model number PC006003 Assembly Required No Batteries Required? No Material Type(s) Jacquard Material Composition 100% Fabric Color multicoloured    Additional Information ASINB000LAQD28 Best Sellers Rank 41,009 in Toys & Games (See top 100) #84 in Toys & Games > Puppets & Puppet Theatres > Hand Puppets Shipping Weight 159 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 27 Nov. 2006   ","Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet","is it good a a toy for playing with kittens who will bite it etc? // I bought mine for just that purpose, but it is too big and clumsy and frightened him.  I am keeping it to see if, when he becomes bigger, he might be interested and less frightened.  But it still won't be the best, because the inner lining is slippery and it doesn't make it comfortable or easy to move on your hand.",4,6.0,165.6,1.2,159.0, 38.1 x 20.3 x 38.1 ,,93,17,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  -  years Item model number PC Assembly Required No Batteries Required? No Material Type(s) Jacquard Material Composition % Fabric Color multicoloured    Additional Information ASINBLAQD Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Puppets & Puppet Theatres > Hand Puppets Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Nov.    ",PC006003 ,0.0,False,No,multicoloured,Jacquard,41009.0, Help page to see where this item can be delivered. ,,7,4.0,['is it good a a toy for playing with kittens who will bite it etc?'],0.5934589,Puppets & Puppet Theatres,3,12.33,,0,1,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36713.465,4295.53515625,25.979999999999997
4373,Gund Curious George Plush Figure (16-inch),24.99,76,3,4.8,"Technical Details Item Weight 322 g Product Dimensions 20.3 x 20.3 x 40.6 cm Manufacturer recommended age: 3 years and up Item model number 320694 Original Release Date1920 Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINB0064ZYTI4 Best Sellers Rank 41,482 in Toys & Games (See top 100) #2719 in Toys & Games > Soft Toys Shipping Weight 222 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 17 Feb. 2012    Feedback  Would you like to update product info or give feedback on images?","Curious George plush in a red shirt. Curious George is wearing a red shirt with his signature in yellow on the front chest. Made of a soft polyester plush. Measures 16"" high. Everyone's favorite inquisitive little monkey, in soft huggable plush, wearing his iconic red shirt.","Hi I was just wondering if the t-shirt is removable?I really want to get this for my son but he keeps telling me that George doesn't have a t-shirt. // Hi, the t-shirt is removable and the monkey is of excellent quality. My 9 month old granddaughter absolutely adores him. // Why two different prices :15.74 and 19.99 // The 19.99 price is fulfilled by OnlineRetail and shipped from within the UK as well as eligible for Prime shipping so it will arrive quickly.  The other price does not include shipping and the item will be shipped from outside of the UK so it may take awhile to arrive. // I was wondering how long it took people to receive their George's in the uk? I just can't wait to see my boy's faces! // This item is Fulfilled by OnlineRetail and shipped by OnlineRetail in the UK so should arrive very quickly :)",27,6.0,55.199999999999996,1.2,322.0, 20.3 x 20.3 x 40.6 ,3.0,98,16,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number  Original Release Date Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINBZYTI Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Soft Toys Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",320694 ,0.0,False,No,,,41482.0, Help page to see where this item can be delivered. , 17 Feb. 2012    ,7,4.0,"[""Hi I was just wondering if the t-shirt is removable?I really want to get this for my son but he keeps telling me that George doesn't have a t-shirt."", ' Why two different prices :15.74 and 19.99', "" I was wondering how long it took people to receive their George's in the uk? I just can't wait to see my boy's faces!""]",0.48362737,Soft Toys,10,30.13,,0,1,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44674.812,0.0,24.99
3070,Assorted Balloon Bangle Weight Pack of 10,2.45,13,1,4.0,"Technical Details Manufacturer recommended age: 3 years and up Assembly Required No    Additional Information ASINB00CMNXG0O Best Sellers Rank 21,588 in Toys & Games (See top 100) #782 in Toys & Games > Party Supplies > Decorations > Balloons Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 3 May 2013    Feedback  Would you like to update product info or give feedback on images?",Plastic bangle weights in assorted colours. Great for keeping hold of that balloon so it doesn't fly away,"Are these suitable for 18"" foil balloons? Also, would the bangles be OK for 5-6 year olds? // Certainly suitable for 5-6 year olds. Not sure about the 18"" foil balloons. I used them to make hand kites. I would think they would be OK as they are quite thick plastic.",5,6.0,21.599999999999998,0.0,,,3.0,73,9,"Technical Details Manufacturer recommended age:  years and up Assembly Required No    Additional Information ASINBCMNXGO Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Party Supplies > Decorations > Balloons Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  May     Feedback  Would you like to update product info or give feedback on images?",,0.0,False,,,,21588.0, Help page to see where this item can be delivered. , 3 May 2013    ,7,0.0,"['Are these suitable for 18"" foil balloons? Also, would the bangles be OK for 5-6 year olds?']",0.5966889000000001,Party Supplies,5,2.82,,0,130,318.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21093.936,494.064453125,17.150000000000034
1712,Mickey Mouse Clubhouse: Minnie and Daisy Armbands,5.49,31,1,4.5,"Technical Details Item Weight 154 g Product Dimensions 26 x 16 x 3.5 cm Manufacturer recommended age: 3 years and up Manufacturer reference90778    Additional Information ASINB004VL390W Best Sellers Rank 37,007 in Toys & Games (See top 100) #63 in Toys & Games > Sports Toys & Outdoor > Beach Toys > Flotation Devices & Accessories Shipping Weight 159 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 7 April 2011    Feedback  Would you like to update product info or give feedback on images?",Bestway inflatable armbands in Minnie Mouse & Daisy Duck design,"Does it suitable for 1.5 years old? // Hi,These are suitable for ages 3 - 6 years.",7,6.0,12.0,0.0,154.0, 26 x 16 x 3.5 ,3.0,94,15,"Technical Details Item Weight  g Product Dimensions  x  x . cm Manufacturer recommended age:  years and up Manufacturer reference    Additional Information ASINBVLW Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Sports Toys & Outdoor > Beach Toys > Flotation Devices & Accessories Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  April     Feedback  Would you like to update product info or give feedback on images?",,,False,,,,37007.0, Help page to see where this item can be delivered. , 7 April 2011    ,7,4.0,['Does it suitable for 1.5 years old?'],0.3199815,Characters & Brands,7,5.14,,0,1,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34652.76,2354.23828125,16.47
9948,Tobar 00435 Wooden Domino Race,15.99,44,1,4.1,"Technical Details Item Weight 1.6 Kg Product Dimensions 24 x 21.4 x 10.6 cm Manufacturer recommended age: 4 years and up Item model number 00435 Educational Objective(s) Spacial Awareness Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) wood Material Compositionwood    Additional Information ASINB000NKN71Q Best Sellers Rank 39,791 in Toys & Games (See top 100) #66 in Toys & Games > Games > Dominoes & Tile Games Shipping Weight 1.3 Kg Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 12 Feb. 2007    Feedback  Would you like to update product info or give feedback on images?","Product Description Old fashioned version with 200 tiles and wooden blocks for building stairways and bridges,The sturdily-boxed pack contains everything illustrated to produce layouts of almost infinite variety. As well as the 200 tiles there are wooden slabs and blocks for building stairways and bridges,Large domino pack,The wooden domino race is a quality toy in an old fashion style that provides lots of fun and helps stimulate children's imagination by letting them create colourful construction Box Contains 1X Tobar 00435 WOODEN DOMINO RACE",what size are the dominoes? // The dominos are 5cm by 2cm by 0.5cm. Hope that helps.,25,6.0,99.6,4.8,1.6, 24 x 21.4 x 10.6 ,4.0,108,15,"Technical Details Item Weight . Kg Product Dimensions  x . x . cm Manufacturer recommended age:  years and up Item model number  Educational Objective(s) Spacial Awareness Assembly Required No Batteries Required? No Batteries Included? No Material Type(s) wood Material Compositionwood    Additional Information ASINBNKNQ Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Games > Dominoes & Tile Games Shipping Weight . Kg Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Feb.     Feedback  Would you like to update product info or give feedback on images?",00435 ,0.0,True,No,,wood,39791.0, Help page to see where this item can be delivered. , 12 Feb. 2007    ,7,4.0,['what size are the dominoes?'],0.4570168,Games,10,15.66,15.99,0,1,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49024.04,0.0,15.99
8184,Funko POP TV: American Horror Story- Season 4 - Pepper Vinyl Figure,12.99,8,1,4.9,"Technical Details Item Weight 113 g Product Dimensions 8.9 x 8.9 x 9.5 cm Manufacturer recommended age: 3 years and up Item model number 5609 Main Language(s) English Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINB00VKW5DQI Best Sellers Rank 37,736 in Toys & Games (See top 100) #948 in Toys & Games > Figures & Playsets > Accessories Shipping Weight 113 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 29 May 2015    Feedback  Would you like to update product info or give feedback on images?","From the fourth season of American Horror Story, Pepper isn't as harmless as she may seem! She stands approximately 3-3/4"" tall, portrayed in Funko's signature POP! style. This vinyl collectible comes brand new in stylish window box packaging. A must-have for any AHS: Freak Show fan! Don't miss out, collect them all!",How tall is she? // Hi. The OnlineRetail description says she is 3 and 3/4 inches tall. That sounds about right.,11,6.0,62.4,3.5999999999999996,113.0, 8.9 x 8.9 x 9.5 ,3.0,101,15,"Technical Details Item Weight  g Product Dimensions . x . x . cm Manufacturer recommended age:  years and up Item model number  Main Language(s) English Assembly Required No Batteries Required? No Batteries Included? No    Additional Information ASINBVKWDQI Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Figures & Playsets > Accessories Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  May     Feedback  Would you like to update product info or give feedback on images?",5609 ,0.0,False,No,,,37736.0, Help page to see where this item can be delivered. , 29 May 2015    ,7,4.0,['How tall is she?'],0.24923177000000002,Figures & Playsets,10,15.32,,0,1,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40094.668,0.0,12.99
697,Melissa & Doug Countdown to Christmas Wooden Advent Calendar,12.49,64,2,4.7,"Technical Details Item Weight 408 g Product Dimensions 3 x 30.5 x 40.6 cm Manufacturer recommended age: 4 years and up Item model number 13571 Main Language(s) German, Spanish, French, English, Italian Assembly Required No Batteries Required? No Batteries Included? No Color Green    Additional Information ASINB00GJWTI0G Best Sellers Rank 61,927 in Toys & Games (See top 100) #43 in Toys & Games > Advent Calendars Shipping Weight 839 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 8 Nov. 2013    Feedback  Would you like to update product info or give feedback on images?",Product Description Melissa & Doug offers high quality toys which are great for stimulating an infants brain and enhance the hand-eye coordination Box Contains 1x Countdown to Christmas Wooden Advent Calendar,"Is this wall mountable? // It does not have any fixings to attach to a wall, but it would be easy to attach a picture hook fixing yourself I would think. // Please can you tell me how the holiday poem goes? // Each evening when goodnights are said,Take off one link and hop into bed.When only the star is left to shine,…
    
      see more
    
  
  
    Each evening when goodnights are said,Take off one link and hop into bed.When only the star is left to shine,Then you will know it's Christmastime!
    
      see less",9,6.0,37.199999999999996,1.2,408.0, 3 x 30.5 x 40.6 ,4.0,104,15,"Technical Details Item Weight  g Product Dimensions  x . x . cm Manufacturer recommended age:  years and up Item model number  Main Language(s) German, Spanish, French, English, Italian Assembly Required No Batteries Required? No Batteries Included? No Color Green    Additional Information ASINBGJWTIG Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Advent Calendars Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Nov.     Feedback  Would you like to update product info or give feedback on images?",13571 ,0.0,False,No,Green,,61927.0, Help page to see where this item can be delivered. , 8 Nov. 2013    ,7,4.0,"['Is this wall mountable?', ' Please can you tell me how the holiday poem goes?']",0.4533501,Advent Calendars,9,21.0,12.49,0,1,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49404.67,12522.328125,12.49
1812,Value Costume: Child Aphrodite (Small 3-5 yrs),6.05,92,3,4.5,"Technical Details BrandBristol Novelties Product Dimensions 31.8 x 28.6 x 2.8 cm Item model number CC589 Color multicoloured    Additional Information ASINB002B8M57A Best Sellers Rank 138,405 in Toys & Games (See top 100) #333 in Toys & Games > Dressing Up > Accessories > Ties & Sashes #1471 in Toys & Games > Dressing Up > Accessories > Sets & Kits #4534 in Toys & Games > Dressing Up > Costumes > Kids & Toddlers Shipping Weight 200 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 1 Jan. 2007    Feedback  Would you like to update product info or give feedback on images?","Size Name:S Includes dress with attached sash, belt and headpiece.","Hi please can you tell me the chest and waist measurements? Also is it an elasticated waist ? Thankyou Angela // Hi Angela,The measurements for this costume are:Around Bust/Chest - 30-44"" 76-112cms…
    
      see more
    
  
  
    Hi Angela,The measurements for this costume are:Around Bust/Chest - 30-44"" 76-112cmsAround Waist - 26-36"" 66-92cmsKind regardsKirstieMidlands Fancy Dress
    
      see less // My daughter is approx 122cm. What size should I buy? // I'd say medium :) // What age is large? // My lil girl is almost 9 and it was lil bit big on shoulders/neck line but other than that id say perfect fit x",23,6.0,12.0,0.0,, 31.8 x 28.6 x 2.8 ,,113,16,"Technical Details BrandBristol Novelties Product Dimensions . x . x . cm Item model number CC Color multicoloured    Additional Information ASINBBMA Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Dressing Up > Accessories > Ties & Sashes # in Toys & Games > Dressing Up > Accessories > Sets & Kits # in Toys & Games > Dressing Up > Costumes > Kids & Toddlers Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",CC589 ,,False,,multicoloured,,138405.0, Help page to see where this item can be delivered. , 1 Jan. 2007    ,7,4.0,"['Hi please can you tell me the chest and waist measurements? Also is it an elasticated waist ? Thankyou Angela', ' My daughter is approx 122cm. What size should I buy?', ' What age is large?']",0.48638185,Fancy Dress,10,6.68,,0,1,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35171.715,103233.28515625,12.099999999999998
3350,Child Knight Fancy Dress Costume age 4-6,11.95,20,1,4.0,"Technical Details Item Weight 399 g Product Dimensions 31 x 24 x 3.8 cm Manufacturer recommended age: 36 months - 18 years Item model number U36 033 Main Language(s) English Assembly Required No Material Type(s) Polyester Radio Control Suitability indoor Color multicoloured    Additional Information ASINB0036EGML8  See all reviews 20 reviews 4.0 out of 5 stars Best Sellers Rank 54,872 in Toys & Games (See top 100) #2854 in Toys & Games > Dressing Up > Costumes > Adults Shipping Weight 399 g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 29 Jan. 2010    Feedback  Would you like to update product info or give feedback on images?",Childrens Knight Fancy Dress Costume age 4-6 years,"This did not come with the sword as shown in the photo...? // No, no sword",9,6.0,9.6,2.4,399.0, 31 x 24 x 3.8 ,,117,20,"Technical Details Item Weight  g Product Dimensions  x  x . cm Manufacturer recommended age:  months -  years Item model number U  Main Language(s) English Assembly Required No Material Type(s) Polyester Radio Control Suitability indoor Color multicoloured    Additional Information ASINBEGML  See all reviews  reviews . out of  stars Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Dressing Up > Costumes > Adults Shipping Weight  g Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Jan.     Feedback  Would you like to update product info or give feedback on images?",U36 ,0.0,False,,multicoloured,Polyester,54872.0, Help page to see where this item can be delivered. , 29 Jan. 2010    ,7,4.0,['This did not come with the sword as shown in the photo...?'],0.20222412,Fancy Dress,9,13.17,,0,1,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49898.977,4973.0234375,11.95
6176,36cm Large Soft Foam Rubber Stuffed Dinosaur Play Toy Animals Action Figures,10.29,19,2,4.2,"Technical Details Manufacturer recommended age: 3 years and up    Additional Information ASINB00FASWHZI Best Sellers Rank 40,954 in Toys & Games (See top 100) #136 in Toys & Games > Figures & Playsets > Dinosaurs #1327 in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available 19 Sept. 2013    Feedback  Would you like to update product info or give feedback on images?","Large Soft Foam Dinosaurs Assorted Styles - One will be sent randomly This impressive large size dinosaurs have been specifically designed in museum colours that will delight the most hard core dinosaur fans. With terrific detailing and realistic colouring and right kind of stuffing they feature soft realistic feel that makes a great addition to kids bedrooms and provides excellent play value for kids who just want to get their hands on all things dinosaur. Styles/colours may vary. These cool dinosaurs highly detailed are soft to the touch and are perfect for kids who love dinosaurs or for kid's bedrooms. There are 6 various awesome dinosaurs to collect. Collect them all and create your own Dinosaur world. Sizes vary depending on the style, an average size 14 - 16 inches","Hi my son already has the T rex and Tricerotop. Can I order the Stegasaurus? If you have in stock will the price be the same? Brad // Hi, if you order from Rush-it-uk seller on OnlineRetail you can add a note or email a request for the one you want :) // Can I request a T-Rex? // Hi Trevor, T-Rex's can be despatched but we have to order them especially when sold out. When this happens, they cost slightly more. Message if you would like to order, price is £10.59. Thanks",3,6.0,156.0,3.5999999999999996,,,3.0,83,9,"Technical Details Manufacturer recommended age:  years and up    Additional Information ASINBFASWHZI Best Sellers Rank , in Toys & Games (See top ) # in Toys & Games > Figures & Playsets > Dinosaurs # in Toys & Games > Figures & Playsets > Science Fiction & Fantasy Delivery Destinations: Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available  Sept.     Feedback  Would you like to update product info or give feedback on images?",,,False,,,,40954.0, Help page to see where this item can be delivered. , 19 Sept. 2013    ,7,4.0,"['Hi my son already has the T rex and Tricerotop. Can I order the Stegasaurus? If you have in stock will the price be the same? Brad', ' Can I request a T-Rex?']",0.5598432000000001,Figures & Playsets,3,11.76,,0,1,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49698.105,0.0,10.29
